,region,number_of_cases,number_of_cases_for_10k,date
0,Cały kraj,10141,2.64,2020-11-23
1,Dolnośląskie,1033,3.56,2020-11-23
2,Kujawsko-pomorskie,529,2.56,2020-11-23
3,Lubelskie,671,3.19,2020-11-23
4,Lubuskie,267,2.64,2020-11-23
5,Łódzkie,561,2.29,2020-11-23
6,Małopolskie,489,1.43,2020-11-23
7,Mazowieckie,1181,2.18,2020-11-23
8,Opolskie,514,5.24,2020-11-23
9,Podkarpackie,540,2.54,2020-11-23
10,Podlaskie,309,2.63,2020-11-23
11,Pomorskie,989,4.21,2020-11-23
12,Śląskie,944,2.09,2020-11-23
13,Świętokrzyskie,359,2.92,2020-11-23
14,Warmińsko-mazurskie,476,3.35,2020-11-23
15,Wielkopolskie,649,1.85,2020-11-23
16,Zachodniopomorskie,460,2.72,2020-11-23
17,Cały kraj,15360,4.0,2020-11-24
18,Dolnośląskie,820,2.83,2020-11-24
19,Kujawsko-pomorskie,1327,6.41,2020-11-24
20,Lubelskie,939,4.46,2020-11-24
21,Lubuskie,506,5.01,2020-11-24
22,Łódzkie,1007,4.11,2020-11-24
23,Małopolskie,951,2.79,2020-11-24
24,Mazowieckie,1586,2.92,2020-11-24
25,Opolskie,466,4.75,2020-11-24
26,Podkarpackie,589,2.77,2020-11-24
27,Podlaskie,449,3.82,2020-11-24
28,Pomorskie,1138,4.85,2020-11-24
29,Śląskie,1938,4.3,2020-11-24
30,Świętokrzyskie,301,2.45,2020-11-24
31,Warmińsko-mazurskie,860,6.05,2020-11-24
32,Wielkopolskie,1418,4.05,2020-11-24
33,Zachodniopomorskie,1014,5.99,2020-11-24
34,Cały kraj,16846,4.39,2020-11-25
35,Dolnośląskie,1117,3.85,2020-11-25
36,Kujawsko-pomorskie,1213,5.86,2020-11-25
37,Lubelskie,1027,4.88,2020-11-25
38,Lubuskie,510,5.05,2020-11-25
39,Łódzkie,1106,4.52,2020-11-25
40,Małopolskie,917,2.69,2020-11-25
41,Mazowieckie,1788,3.29,2020-11-25
42,Opolskie,587,5.99,2020-11-25
43,Podkarpackie,752,3.54,2020-11-25
44,Podlaskie,467,3.97,2020-11-25
45,Pomorskie,1112,4.74,2020-11-25
46,Śląskie,1860,4.13,2020-11-25
47,Świętokrzyskie,471,3.83,2020-11-25
48,Warmińsko-mazurskie,1212,8.53,2020-11-25
49,Wielkopolskie,1671,4.77,2020-11-25
50,Zachodniopomorskie,994,5.87,2020-11-25
51,Cały kraj,17059,4.45,2020-11-26
52,Dolnośląskie,1319,4.55,2020-11-26
53,Kujawsko-pomorskie,1366,6.6,2020-11-26
54,Lubelskie,801,3.81,2020-11-26
55,Lubuskie,494,4.89,2020-11-26
56,Łódzkie,1002,4.09,2020-11-26
57,Małopolskie,870,2.55,2020-11-26
58,Mazowieckie,2072,3.82,2020-11-26
59,Opolskie,536,5.47,2020-11-26
60,Podkarpackie,790,3.72,2020-11-26
61,Podlaskie,490,4.16,2020-11-26
62,Pomorskie,1268,5.4,2020-11-26
63,Śląskie,1554,3.45,2020-11-26
64,Świętokrzyskie,406,3.3,2020-11-26
65,Warmińsko-mazurskie,1059,7.46,2020-11-26
66,Wielkopolskie,2076,5.93,2020-11-26
67,Zachodniopomorskie,916,5.41,2020-11-26
68,Cały kraj,15183,3.96,2020-11-27
69,Dolnośląskie,1486,5.13,2020-11-27
70,Kujawsko-pomorskie,1010,4.88,2020-11-27
71,Lubelskie,940,4.47,2020-11-27
72,Lubuskie,399,3.95,2020-11-27
73,Łódzkie,655,2.67,2020-11-27
74,Małopolskie,660,1.93,2020-11-27
75,Mazowieckie,1994,3.67,2020-11-27
76,Opolskie,434,4.43,2020-11-27
77,Podkarpackie,715,3.36,2020-11-27
78,Podlaskie,481,4.09,2020-11-27
79,Pomorskie,1038,4.42,2020-11-27
80,Śląskie,1402,3.11,2020-11-27
81,Świętokrzyskie,308,2.5,2020-11-27
82,Warmińsko-mazurskie,951,6.69,2020-11-27
83,Wielkopolskie,1756,5.02,2020-11-27
84,Zachodniopomorskie,907,5.36,2020-11-27
85,Cały kraj,11483,2.99,2020-11-28
86,Dolnośląskie,782,2.7,2020-11-28
87,Kujawsko-pomorskie,623,3.01,2020-11-28
88,Lubelskie,622,2.96,2020-11-28
89,Lubuskie,373,3.69,2020-11-28
90,Łódzkie,839,3.43,2020-11-28
91,Małopolskie,450,1.32,2020-11-28
92,Mazowieckie,1419,2.61,2020-11-28
93,Opolskie,434,4.43,2020-11-28
94,Podkarpackie,339,1.59,2020-11-28
95,Podlaskie,310,2.63,2020-11-28
96,Pomorskie,984,4.19,2020-11-28
97,Śląskie,970,2.15,2020-11-28
98,Świętokrzyskie,271,2.2,2020-11-28
99,Warmińsko-mazurskie,616,4.34,2020-11-28
100,Wielkopolskie,1591,4.55,2020-11-28
101,Zachodniopomorskie,784,4.63,2020-11-28
102,Cały kraj,5734,1.5,2020-11-29
103,Dolnośląskie,446,1.54,2020-11-29
104,Kujawsko-pomorskie,294,1.42,2020-11-29
105,Lubelskie,284,1.35,2020-11-29
106,Lubuskie,265,2.62,2020-11-29
107,Łódzkie,376,1.54,2020-11-29
108,Małopolskie,284,0.83,2020-11-29
109,Mazowieckie,675,1.24,2020-11-29
110,Opolskie,197,2.01,2020-11-29
111,Podkarpackie,207,0.97,2020-11-29
112,Podlaskie,122,1.04,2020-11-29
113,Pomorskie,446,1.9,2020-11-29
114,Śląskie,420,0.93,2020-11-29
115,Świętokrzyskie,193,1.57,2020-11-29
116,Warmińsko-mazurskie,328,2.31,2020-11-29
117,Wielkopolskie,535,1.53,2020-11-29
118,Zachodniopomorskie,603,3.56,2020-11-29
119,Cały kraj,9066,2.36,2020-11-30
120,Dolnośląskie,718,2.48,2020-11-30
121,Kujawsko-pomorskie,1211,5.85,2020-11-30
122,Lubelskie,551,2.62,2020-11-30
123,Lubuskie,189,1.87,2020-11-30
124,Łódzkie,613,2.5,2020-11-30
125,Małopolskie,494,1.45,2020-11-30
126,Mazowieckie,732,1.35,2020-11-30
127,Opolskie,359,3.66,2020-11-30
128,Podkarpackie,344,1.62,2020-11-30
129,Podlaskie,215,1.83,2020-11-30
130,Pomorskie,449,1.91,2020-11-30
131,Śląskie,1081,2.4,2020-11-30
132,Świętokrzyskie,266,2.16,2020-11-30
133,Warmińsko-mazurskie,536,3.77,2020-11-30
134,Wielkopolskie,792,2.26,2020-11-30
135,Zachodniopomorskie,463,2.73,2020-11-30
136,Cały kraj,13870,3.62,2020-12-01
137,Dolnośląskie,848,2.93,2020-12-01
138,Kujawsko-pomorskie,1240,5.99,2020-12-01
139,Lubelskie,758,3.6,2020-12-01
140,Lubuskie,384,3.8,2020-12-01
141,Łódzkie,1011,4.13,2020-12-01
142,Małopolskie,827,2.42,2020-12-01
143,Mazowieckie,1644,3.03,2020-12-01
144,Opolskie,257,2.62,2020-12-01
145,Podkarpackie,515,2.42,2020-12-01
146,Podlaskie,389,3.31,2020-12-01
147,Pomorskie,1069,4.56,2020-12-01
148,Śląskie,1507,3.34,2020-12-01
149,Świętokrzyskie,275,2.24,2020-12-01
150,Warmińsko-mazurskie,783,5.51,2020-12-01
151,Wielkopolskie,1579,4.51,2020-12-01
152,Zachodniopomorskie,754,4.45,2020-12-01
153,Cały kraj,14838,3.87,2020-12-02
154,Dolnośląskie,845,2.92,2020-12-02
155,Kujawsko-pomorskie,1352,6.53,2020-12-02
156,Lubelskie,794,3.77,2020-12-02
157,Lubuskie,359,3.55,2020-12-02
158,Łódzkie,892,3.64,2020-12-02
159,Małopolskie,645,1.89,2020-12-02
160,Mazowieckie,1794,3.31,2020-12-02
161,Opolskie,467,4.76,2020-12-02
162,Podkarpackie,415,1.95,2020-12-02
163,Podlaskie,356,3.03,2020-12-02
164,Pomorskie,1237,5.27,2020-12-02
165,Śląskie,1529,3.39,2020-12-02
166,Świętokrzyskie,355,2.89,2020-12-02
167,Warmińsko-mazurskie,1057,7.44,2020-12-02
168,Wielkopolskie,1760,5.03,2020-12-02
169,Zachodniopomorskie,945,5.58,2020-12-02
170,Cały kraj,13230,3.45,2020-12-03
171,Dolnośląskie,828,2.86,2020-12-03
172,Kujawsko-pomorskie,1080,5.22,2020-12-03
173,Lubelskie,716,3.4,2020-12-03
174,Lubuskie,485,4.8,2020-12-03
175,Łódzkie,918,3.75,2020-12-03
176,Małopolskie,600,1.76,2020-12-03
177,Mazowieckie,1649,3.04,2020-12-03
178,Opolskie,448,4.57,2020-12-03
179,Podkarpackie,322,1.51,2020-12-03
180,Podlaskie,373,3.17,2020-12-03
181,Pomorskie,818,3.49,2020-12-03
182,Śląskie,1346,2.99,2020-12-03
183,Świętokrzyskie,252,2.05,2020-12-03
184,Warmińsko-mazurskie,969,6.82,2020-12-03
